Scout,Match Key,Team Key,Auto Leave,Auto L1 Success,Auto L1 Faliure,Auto L2 Success,Auto L2 Faliure,Auto L3 Success,Auto L3 Faliure,Auto L4 Success,Auto L4 Faliure,Tele L1 Success,Tele L1 Faliure,Tele L2 Success,Tele L2 Faliure,Tele L3 Success,Tele L3 Faliure,Tele L4 Success,Tele L4 Faliure,Auto Descore Success,Auto Descore Faliure,Auto Net Success,Auto Net Faliure,Auto Processor Success,Auto Processor Faliure,Tele Descore Success,Tele Descore Faliure,Tele Net Success,Tele Net Faliure,Tele Processor Success,Tele Processor Faliure,Defense Time,Broke,Notes,Deep Success,Deep Failure,Shallow Success,Shallow Failure,Park Success,Park Faliure,Incap
Josh,2025cc_qm1,3478,1,0,0,0,0,0,0,1,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0,0,0,0,0,1,0
poopoofard2,2025cc_qm1,9084,1,0,0,0,0,0,0,2,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,very fast climb but very slow cycles and driver is kinda bad,1,0,0,0,0,0,0
Anusha,2025cc_qm1,9496,0,0,0,0,0,0,0,3,0,4,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm1,2910,1,0,0,0,0,1,0,2,0,3,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,0,0,0,1,0,0,0
Brandon 12346678,2025cc_qm1,4414,1,0,0,0,0,0,0,1,0,6,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Rlly good it could score on all the levels with the coral and can shoot the algae into the net ,0,0,1,0,0,0,0
Russell,2025cc_qm1,6238,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,0,0,0,1,The function for the elevator for the algae looked like it borked,0,0,0,0,0,1,0
Anusha,2025cc_qm2,581,0,0,0,0,0,0,0,2,0,0,0,3,1,7,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm2,3501,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Josh,2025cc_qm2,1678,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,Coral intake was scuffed,0,0,0,0,1,0,13
Russell,2025cc_qm2,604,1,0,0,0,0,0,0,4,0,5,0,6,0,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0
poopoofard2,2025cc_qm2,9408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,intake got cooked,0,0,0,0,0,1,58
Brandon 12346678,2025cc_qm2,971,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,Not crazy good it was able to score the net though ,0,0,0,0,1,0,0
Josh,2025cc_qm3,4738,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm3,972,0,0,0,0,0,0,0,1,2,1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very slow, missed a lot not a good team",0,0,1,0,0,0,0
poopoofard2,2025cc_qm3,694,1,0,0,0,0,0,0,2,0,5,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,good all around can do everything but processor,1,0,0,0,0,0,0
Anusha,2025cc_qm3,9450,0,2,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,Did some of it in auto only the first 3 failed coral attempts were in auto,1,0,0,0,0,0,0
Brandon 12346678,2025cc_qm3,973,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,Very one dimensional scorer can only score net. Likes Jonathan Kuminga .,1,0,0,0,0,0,0
Josh,2025cc_qm4,5940,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Intake stopped working ,0,0,0,0,1,0,22
eric,2025cc_qm4,7157,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,,0,0,0,0,1,0,0
Anusha,2025cc_qm4,5507,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
Arnav,2025cc_qm4,4499,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,Really good at algae bad at coral,0,0,1,0,0,0,0
Ivan,2025cc_qm4,5026,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Brandon 12346678,2025cc_qm4,5419,1,0,0,0,0,0,0,2,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scored pretty well on the l4 and l3. Scores like Mike Conley can not go for all three levels but is a good midrange and three point shooter ,0,0,0,0,1,0,0
Anusha,2025cc_qm5,8033,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
Josh,2025cc_qm5,1671,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,Uhhh ppl were standing up and i did too many in auto. U may have to rescout,0,0,0,0,1,0,0
Ivan,2025cc_qm5,5468,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm5,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,"Only algae, prob can’t do coral",0,0,1,0,0,0,0
Brandon 12346678,2025cc_qm5,2813,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
